especie_agregada,id_especie_agregada
"BOVINOS PRODUCTORES DE CARNE Y LECHE, OVINOS Y CAPRINOS PRODUTORES DE CARNE, PORCINOS LECHONES ENGORDA Y REPRODUCTORAS, EQUINOS, CANINOS Y FELINOS DOMESTICOS",55
"BOVINOS, PORCNINOS (LECHONES), EQUINOS, CANINOS Y FELINOS",56
"BOVINOS, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",57
"MUSTELIDOS, CANINOS Y FELINOS",58
"EQUINOS, BOVINOS, OVINOS, CAPRINOS, PORCIONOS, CANINOS Y FELINOS",59
"BOVINOS DE CARNE Y LECHE, PORCINOS, OVINOS, CAPRINOS, EQUINOS, AVES DE CARNE Y HUEVO, CANINOS Y FELINOS",60
"EQUINOS, BOVINOS, OVINOS, PORCINOS, CANINOS Y FELINOS",61
"BOVINOS ADULTOS Y BECERROS (PRODUCTORES DE CARNE) EQUINOS (ADULTOS Y POTROS) OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",62
"BOVINOS, EQUINOS, OVINOS, POCINOS, CANINOS Y FELINOS",63
"BOVINOS CARNE Y LECHE, EQUINOS, CANINOS Y FELINOS DOMESTICOS, GALLOS",64
CANINOS Y FELINOS DOMESTICOS EQUINOS,65
"BOVINOS PRODUCTORES DE CARNE Y LECHE, OVINOS, CAPRINOS, PORCINOS, EQUINOS, CANINOS Y FELINOS",66
"BOVINO CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",67
"BOVINOS CARNE Y LECHE, EQUINOS, OVINOS, CAPRINOS, PORCINOS, LECHONES, CANINOS Y FELINOS Y GALLOS DE PELEA",68
"BOVINOS PORDUCTORES DE CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",69
"BOVINOS PRODUCTORES DE CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",70
"BOVINOS PRODUCTORES DE CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS, AVES",71
"BOVINOS PRODUCTORES DE CARNE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",72
"BOVINOS (CARNE Y LECHE), OVINOS (CARNE Y LECHE), CANINOS Y FELINOS DOMESTICOS",73
"BOVINOS-OVINOS-CAPRINOS, EQUINOS-PORCINOS, AVES -CANINOS Y FELINOS",74
"BOVINOS PRODUCTORES DE CARNE, EQUINOS, PORCINOS, CANINOS Y FELINOS DOMESTICOS",75
"AVES (GALLINAS, POLLOS, PAVOS, GANSOS, GALLOS DE PELEA, PALOMAS MENSAJERAS), CANINOS Y FELINOS",76
"BOVINOS (CARNE Y LECHE), EQUINOS, OVINOS, CAPRINOS, CERDOS, AVES: POSTURA Y ENGORDA, CANINOS Y FELINOS",77
"BOVINOS O BECERROS PRODUCTORES DE CARNE, PORCINOS, CANINOS Y FELINOS",78
"BOVINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",79
"BOVINOS, EQUINOS, OVINOS, CAPRINOS, PORCINOS, AVES, CANINOS Y FELINOS",80
AVES (ORNATO Y COMBATE) PORCINOS CANINOS Y FELINOS,81
"BOVINOS, EQUINOS, OVINOS, CAPRINOS, PORCINOS CANINOS Y FELINOS",82
"AVES (CONBATE), BOVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",83
"AVES (COMBATE Y OLRNARO), BOVINOS, PORCINOS, CANINOS Y FELINOS",84
"CANINOS Y FELINOS, DOMESTICOS",85
