especie_agregada,id_especie_agregada
"BOVINOS (PRODUCTORES DE CARNE), PORCINOS, AVES (POLLO DE ENGORDA Y AVES DE COMBATE), CANINOS Y FELINOS",231
"EQUINOS, BOVIOS (PRODUCTORES DE CARNE Y LECHE) CAPRINOS, OVINOS, PORCINOS, CANINOS Y FELINOS",232
"EQUINOS, BOVINOS (PRODUCTORES DE CARNE), PORCINOS, CANINOS Y FELINOS",233
"EQUINOS, BOVINOS (PRODUCTORES DE CARNE Y LECHE), PORCINOS, CANINOS Y FELINOS",234
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), EQUINOS PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",235
BOVINOS (PRODUCTORES DE CARNE Y GANADO LECHERO NO LACTANTE) PORCINOS (PRODUCTORES DE CARNE Y REPRODUCTORES) CANINOS Y FELINOS DOMESTICOS,236
"BOVINOS (CARNE Y LECHE), EQUINOS, PORCINOS, CAP PVI CANINOS Y FELINOS",237
"AVES DE ORNATO CANARIO, PERIQUITO AUSTRALIANO, RUISEÑOR, ALONDRA, CENZONTLE, AGAPOMI",238
AVES DE ORNATO EXCLUSIVAMENTE,239
"AVES DE ORNATO (PESERINOS, PSITACIDOS Y PALOMAS, PORCINOS, BOVINOS PRODUCTORES DE CARNE",240
"AVES POLLO DE ENGORDA, GALLINAS DE POSTURA, REPRODUCTORAS Y PROGENITORAS, CODORNIOCES, PAVOS, PATOS Y GANSOS, AVES DE ORNATO (CANARIOS, LOROS Y COTORRAS)",241
"CANINOS Y FEÑOMPS: GALLOS DE ALTO REGISTRO Y AVES DE ORNATO (FAISANES, PAVOS)",242
AVES DE ORNATO Y COMBATE BOV DP POR,243
AVES DE ORNATO,244
"AVES DE ORNATO (CANARIOS, PERIQUITOS Y JILGUEROS)",245
AVES DE ORNATO CANTORA,246
CANARIOS Y AVES DE ORNATO (PERIQUITOS Y JILGUEROS),247
"AVES DE POSTURA, POLLO DE ENGORDA, PAVOS DE ENGORDA, AVES DE ORNATO COMO CANARIOS, PERIQUITOS, COTORRAS, PAVOSREALES",248
"AVE DE POSTURA, POLLLO DE ENGORDA, PAVOS DE ENGRODA, AVES DE ORNATO, COMO: CANARIOS, PERIQUITOS, PERICOS, COTORRAS, PAVOS REALES",249
"POLLO DE ENGORDA, GALLINA DE POSTURA, AVES DE ORNATO Y GALLOS DE PELEA, CANINOS Y FELINOS",250
"AVES DE ORNATO (PASERINOS, PSITACIDOS Y PALOMAS)",251
"AVES (POLLO DE ENG, GALLINA DE POSTURA, REP, POLLITA DE REEMPLAZO), AVES DE ORNATO",252
"CANINOS, FELINOS, HURONES, CONEJOS, HAMSTER, JERBOS, REPTILES AVES DE ORNATO, DIPORIDOS",253
"CANINOS, FELINOS Y REPTILES (TORTUGAS, SERPIENTES, IGUANAS Y GECOS)",254
"CANINOS, FELINOS, AVES (PRODUCOTRES DE HUEVO, CARNE Y DE ORNATO), REPTILES, ROEDORES Y CONEJOS",255
